assembly_accession	assembly_level	assembly_submitter	assembly_refseq_category	species_taxid	species_scientific_name	biosample_lat	biosample_lon	biosample_collection_country	is_species_name_binomial	has_biosample_coordinates	has_submitter
GCA_000439995.3	Contig	Centre for Cellular and Molecular Plateforms		124943	Azadirachta indica			India	true	false	true
GCA_964235425.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	1643962	Azelia nebulosa	51.764	-1.337	United Kingdom	true	true	true
GCA_964235375.1	Scaffold	WELLCOME SANGER INSTITUTE		1643962	Azelia nebulosa	51.764	-1.337	United Kingdom	true	true	true
GCA_023970755.1	Contig	Clemson University	reference genome	8773	Azemiops feae				true	false	true
GCA_043228885.1	Scaffold	University of California, Santa Cruz		39631	Azolla caroliniana	37.89685	-122.2498	USA	true	true	true
GCA_043228905.1	Scaffold	University of California, Santa Cruz	reference genome	39631	Azolla caroliniana	37.89685	-122.2498	USA	true	true	true
GCA_910573715.1	Scaffold	UTRECHT UNIVERSITY		39631	Azolla caroliniana			Brazil	true	false	true
GCA_910574225.1	Scaffold	UTRECHT UNIVERSITY		39631	Azolla caroliniana			Uruguay	true	false	true
GCA_910574055.2	Scaffold	UTRECHT UNIVERSITY	reference genome	84609	Azolla filiculoides	52.076382	5.149619	Netherlands	true	true	true
GCA_910574105.1	Scaffold	UTRECHT UNIVERSITY		336973	Azolla mexicana			USA	true	false	true
GCA_910574305.1	Scaffold	UTRECHT UNIVERSITY		336972	Azolla microphylla			Ecuador	true	false	true
GCA_910574485.1	Scaffold	UTRECHT UNIVERSITY		336974	Azolla nilotica			Sudan	true	false	true
GCA_037176905.1	Scaffold	Iridian Genomes	reference genome	99433	Azolla pinnata				true	false	true
GCA_910574125.1	Scaffold	UTRECHT UNIVERSITY		45988	Azolla rubra			Australia	true	false	true
GCA_018245255.1	Contig	Florida Museum of Natural History	reference genome	2585998	Azonax typhaon			French Guiana	true	false	true
